"submit_id";"created_by";"created_date";"modified_by";"modified_date";"status";"submit_file_url";"submit_time";"user_note";"class_id";"user_id";"group_id";"milestone_id"
224;"quan1@doivl.com";"2022-10-30 17:09:54.118000";"quan1@doivl.com";"2022-11-01 17:02:33.071000";"";"";"";"";1;24;0;39
225;"quan1@doivl.com";"2022-10-30 17:09:54.121000";"quan1@doivl.com";"2022-11-01 17:02:33.040000";"";"";"";"";1;34;0;39
226;"quan1@doivl.com";"2022-10-30 17:09:54.123000";"quan1@doivl.com";"2022-10-30 17:09:54.123000";"";"";"";"";1;44;0;39
227;"quan1@doivl.com";"2022-10-30 17:09:54.124000";"vietnqhe140773@gmail.com";"2022-11-02 17:58:13.015000";"";"";"";"";1;194;0;39
235;"quan1@doivl.com";"2022-10-30 18:51:43.192000";"vietnqhe140773@gmail.com";"2022-11-02 17:47:45.451000";"";"";"";"";1;14;144;39
251;"quan1@doivl.com";"2022-10-31 10:35:53.818000";"quan1@doivl.com";"2022-11-01 17:00:52.044000";"";"";"";"";1;14;0;41
252;"quan1@doivl.com";"2022-10-31 10:35:53.820000";"quan1@doivl.com";"2022-10-31 10:35:53.820000";"";"";"";"";1;24;0;41
253;"quan1@doivl.com";"2022-10-31 10:35:53.823000";"quan1@doivl.com";"2022-11-01 17:00:52.265000";"";"";"";"";1;34;0;41
254;"quan1@doivl.com";"2022-10-31 10:35:53.823000";"quan1@doivl.com";"2022-10-31 10:35:53.823000";"";"";"";"";1;44;0;41
255;"quan1@doivl.com";"2022-10-31 10:35:53.825000";"quan1@doivl.com";"2022-10-31 10:35:53.825000";"";"";"";"";1;194;0;41
256;"quan1@doivl.com";"2022-10-31 10:35:53.826000";"quan1@doivl.com";"2022-10-31 10:35:53.826000";"";"";"";"";1;204;0;41
282;"quan1@doivl.com";"2022-10-31 14:31:21.024000";"quan1@doivl.com";"2022-11-01 17:00:52.215000";"";"";"";"";1;1;0;41
290;"quan1@doivl.com";"2022-11-01 17:10:44.071000";"quan1@doivl.com";"2022-11-02 23:32:48.697000";"";"";"";"";3;1;114;42
291;"quan1@doivl.com";"2022-11-01 17:10:44.073000";"quan1@doivl.com";"2022-11-03 00:37:23.533000";"";"";"";"";3;4;124;42
292;"quan1@doivl.com";"2022-11-01 17:10:44.074000";"quan1@doivl.com";"2022-11-01 17:10:44.074000";"";"";"";"";3;6;0;42
293;"quan1@doivl.com";"2022-11-01 17:10:44.076000";"quan1@doivl.com";"2022-11-01 17:10:44.076000";"";"";"";"";3;14;0;42
294;"quan1@doivl.com";"2022-11-01 17:10:44.078000";"quan1@doivl.com";"2022-11-01 17:10:44.078000";"";"";"";"";3;34;0;42
295;"quan1@doivl.com";"2022-11-02 23:32:48.688000";"quan1@doivl.com";"2022-11-02 23:32:48.688000";"";"";"";"";0;0;114;42
304;"quan1@doivl.com";"2022-11-03 00:37:23.287000";"quan1@doivl.com";"2022-11-03 00:37:23.287000";"";"";"";"";0;0;124;42
324;"vietnqhe140773@gmail.com";"2022-11-02 17:46:49.048000";"vietnqhe140773@gmail.com";"2022-11-02 17:46:49.048000";"";"";"";"";0;0;144;39
334;"vietnqhe140773@gmail.com";"2022-11-02 17:47:10.236000";"vietnqhe140773@gmail.com";"2022-11-02 17:47:10.236000";"";"";"";"";1;1;144;39
344;"vietnqhe140773@gmail.com";"2022-11-02 17:47:29.813000";"vietnqhe140773@gmail.com";"2022-11-02 18:10:04.238000";"";"";"";"";1;204;0;39
354;"quan4@doivl.com";"2022-11-02 17:55:14.906000";"quan4@doivl.com";"2022-11-02 18:05:17.906000";"";"";"";"";12;224;194;44
364;"quan4@doivl.com";"2022-11-02 17:55:15.131000";"quan4@doivl.com";"2022-11-02 18:05:17.906000";"";"";"";"";12;234;174;44
374;"quan4@doivl.com";"2022-11-02 17:56:54.073000";"quan4@doivl.com";"2022-11-02 18:05:17.906000";"";"";"";"";12;244;184;44
384;"quan4@doivl.com";"2022-11-02 17:56:54.243000";"quan4@doivl.com";"2022-11-02 18:05:17.906000";"";"";"";"";12;254;184;44
394;"quan4@doivl.com";"2022-11-02 17:56:54.380000";"quan4@doivl.com";"2022-11-02 18:05:17.906000";"";"";"";"";12;264;174;44
404;"quan4@doivl.com";"2022-11-02 17:56:54.531000";"quan4@doivl.com";"2022-11-02 18:05:17.907000";"";"";"";"";12;274;174;44
414;"quan4@doivl.com";"2022-11-02 17:56:54.673000";"quan4@doivl.com";"2022-11-02 18:05:17.907000";"";"";"";"";12;284;194;44
424;"quan4@doivl.com";"2022-11-02 17:57:40.412000";"quan4@doivl.com";"2022-11-02 18:05:17.905000";"";"";"";"";12;294;184;44
434;"quan4@doivl.com";"2022-11-02 17:57:40.565000";"quan4@doivl.com";"2022-11-02 18:05:17.908000";"";"";"";"";12;304;194;44
474;"quan4@doivl.com";"2022-11-02 18:00:08.102000";"quan4@doivl.com";"2022-11-02 18:05:17.908000";"";"";"";"";12;314;174;44
484;"quan4@doivl.com";"2022-11-02 18:05:18.032000";"quan4@doivl.com";"2022-11-02 18:05:18.032000";"";"";"";"";0;0;174;44
494;"quan4@doivl.com";"2022-11-02 18:05:18.036000";"quan4@doivl.com";"2022-11-02 18:05:18.036000";"";"";"";"";0;0;184;44
504;"quan4@doivl.com";"2022-11-02 18:05:18.040000";"quan4@doivl.com";"2022-11-02 18:05:18.040000";"";"";"";"";0;0;194;44
514;"quan4@doivl.com";"2022-11-02 18:08:37.245000";"quan1@doivl.com";"2022-11-03 07:27:55.330000";"";"";"";"";12;224;244;54
524;"quan4@doivl.com";"2022-11-02 18:08:37.248000";"quan4@doivl.com";"2022-11-02 18:08:37.248000";"";"";"";"";12;234;0;54
534;"quan4@doivl.com";"2022-11-02 18:08:37.262000";"quan4@doivl.com";"2022-11-02 18:08:37.262000";"";"";"";"";12;244;0;54
544;"quan4@doivl.com";"2022-11-02 18:08:37.264000";"quan4@doivl.com";"2022-11-02 18:08:37.264000";"";"";"";"";12;254;0;54
554;"quan4@doivl.com";"2022-11-02 18:08:37.267000";"quan4@doivl.com";"2022-11-02 18:08:37.267000";"";"";"";"";12;264;0;54
564;"quan4@doivl.com";"2022-11-02 18:08:37.271000";"quan4@doivl.com";"2022-11-02 18:08:37.271000";"";"";"";"";12;274;0;54
574;"quan4@doivl.com";"2022-11-02 18:08:37.273000";"quan4@doivl.com";"2022-11-02 18:08:37.273000";"";"";"";"";12;284;0;54
584;"quan4@doivl.com";"2022-11-02 18:08:37.276000";"quan4@doivl.com";"2022-11-02 18:08:37.276000";"";"";"";"";12;294;0;54
594;"quan4@doivl.com";"2022-11-02 18:08:37.278000";"quan4@doivl.com";"2022-11-02 18:08:37.278000";"";"";"";"";12;304;0;54
604;"quan4@doivl.com";"2022-11-02 18:08:37.280000";"quan4@doivl.com";"2022-11-02 18:08:37.280000";"";"";"";"";12;314;0;54
614;"quan4@doivl.com";"2022-11-02 18:08:45.038000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.954000";"";"";"";"";12;224;0;64
624;"quan4@doivl.com";"2022-11-02 18:08:45.041000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.892000";"";"";"";"";12;234;0;64
634;"quan4@doivl.com";"2022-11-02 18:08:45.043000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.926000";"";"";"";"";12;244;0;64
644;"quan4@doivl.com";"2022-11-02 18:08:45.045000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.926000";"";"";"";"";12;254;0;64
654;"quan4@doivl.com";"2022-11-02 18:08:45.047000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.892000";"";"";"";"";12;264;0;64
664;"quan4@doivl.com";"2022-11-02 18:08:45.050000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.892000";"";"";"";"";12;274;0;64
674;"quan4@doivl.com";"2022-11-02 18:08:45.052000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.954000";"";"";"";"";12;284;0;64
684;"quan4@doivl.com";"2022-11-02 18:08:45.054000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.926000";"";"";"";"";12;294;0;64
694;"quan4@doivl.com";"2022-11-02 18:08:45.056000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.954000";"";"";"";"";12;304;0;64
704;"quan4@doivl.com";"2022-11-02 18:08:45.058000";"hoangnhhe141380@fpt.edu.vn";"2022-11-02 18:55:20.892000";"";"";"";"";12;314;0;64
744;"quan4@doivl.com";"2022-11-02 18:12:29.528000";"quan4@doivl.com";"2022-11-02 18:12:29.528000";"";"";"";"";12;324;0;44
754;"quan4@doivl.com";"2022-11-02 18:12:29.533000";"quan4@doivl.com";"2022-11-02 18:12:29.533000";"";"";"";"";12;324;0;54
764;"quan4@doivl.com";"2022-11-02 18:12:29.536000";"quan4@doivl.com";"2022-11-02 18:12:29.536000";"";"";"";"";12;324;0;64
774;"quan4@doivl.com";"2022-11-02 18:12:29.665000";"quan4@doivl.com";"2022-11-02 18:12:29.665000";"";"";"";"";12;334;0;44
784;"quan4@doivl.com";"2022-11-02 18:12:29.669000";"quan4@doivl.com";"2022-11-02 18:12:29.669000";"";"";"";"";12;334;0;54
794;"quan4@doivl.com";"2022-11-02 18:12:29.671000";"quan4@doivl.com";"2022-11-02 18:16:51.868000";"";"";"";"";12;334;0;64
804;"quan4@doivl.com";"2022-11-02 18:12:29.835000";"quan4@doivl.com";"2022-11-02 18:12:29.835000";"";"";"";"";12;344;0;44
814;"quan4@doivl.com";"2022-11-02 18:12:29.840000";"quan4@doivl.com";"2022-11-02 18:12:29.840000";"";"";"";"";12;344;0;54
824;"quan4@doivl.com";"2022-11-02 18:12:29.842000";"quan4@doivl.com";"2022-11-02 18:14:44.750000";"";"";"";"";12;344;0;64
874;"quan1@doivl.com";"2022-11-03 07:27:55.327000";"quan1@doivl.com";"2022-11-03 07:27:55.327000";"";"";"";"";0;0;244;54
